CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,DETALHE,POSTO,UNIDADE,ACESSANTE,Total TE,Total TUSD,TUSD_FioB
ESE,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Cercos,0.0,16.48,7.82484234659396
ESE,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Coelba,0.0,16.48,7.82484234659396
ESE,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Sulgipe,0.0,8.66,0.0
ESE,A4,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,14.32,15.3781432058938
ESE,A4,Verde,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,1789.76,1691.87215860244
ESE,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,kW,Não se aplica,0.0,26.6,20.132985794347
ESE,A4,Verde,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,16.88,0.0
ESE,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,361.55,1837.89,1691.87215860244
ESE,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,26.6,20.132985794347
ESE,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,223.15,65.01,0.0
ESE,B,Geração,Não se aplica,Não se aplica,TIPO 01,Não se aplica,kW,Não se aplica,0.0,7.02,7.53540657062981
ESE,B,Geração,Não se aplica,Não se aplica,TIPO 02,Não se aplica,kW,Não se aplica,0.0,21.03,22.7554546047785
ESE,B1,Branca,Residencial,Residencial,Não se aplica,Ponta,MWh,Não se aplica,361.55,1054.53,929.969483070845
ESE,B1,Branca,Residencial,Residencial,Não se aplica,Intermediário,MWh,Não se aplica,223.15,668.5,557.981794081082
ESE,B1,Branca,Residencial,Residencial,Não se aplica,Fora ponta,MWh,Não se aplica,223.15,282.46,185.993931360361
ESE,B1,Convencional,Residencial,Baixa Renda,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,356.66,309.989885600601
ESE,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,411.14,309.989885600601
ESE,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,356.66,309.989885600601
ESE,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,411.14,309.989885600601
ESE,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Ponta,MWh,Não se aplica,339.86,991.26,874.171314086595
ESE,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Intermediário,MWh,Não se aplica,209.76,628.39,524.502886436217
ESE,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Fora ponta,MWh,Não se aplica,209.76,265.52,174.834295478739
ESE,B2,Branca,Rural,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,339.86,991.26,874.171314086595
ESE,B2,Branca,Rural,Não se aplica,Não se aplica,Intermediário,MWh,Não se aplica,209.76,628.39,524.502886436217
ESE,B2,Branca,Rural,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,209.76,265.52,174.834295478739
ESE,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Ponta,MWh,Não se aplica,332.63,970.17,855.571924425178
ESE,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Intermediário,MWh,Não se aplica,205.29,615.02,513.343250554595
ESE,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Fora ponta,MWh,Não se aplica,205.29,259.87,171.114416851532
ESE,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,MWh,Não se aplica,220.6,386.47,291.390492464565
ESE,B2,Convencional,Rural,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,220.6,386.47,291.390492464565
ESE,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,Não se aplica,MWh,Não se aplica,215.9,378.25,285.190694752553
ESE,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,MWh,Não se aplica,220.6,386.47,291.390492464565
ESE,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,220.6,386.47,291.390492464565
ESE,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,Não se aplica,MWh,Não se aplica,215.9,378.25,285.190694752553
ESE,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,361.55,1134.95,1007.46704133647
ESE,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Intermediário,MWh,Não se aplica,223.15,716.75,604.480190055693
ESE,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,223.15,298.55,201.493338774912
ESE,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,411.14,309.989885600601
ESE,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,234.68,411.14,309.989885600601
ESE,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,Não se aplica,MWh,Não se aplica,129.07,226.13,170.494437080331
ESE,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,Não se aplica,MWh,Não se aplica,140.81,246.69,185.993931360361
ESS,A2,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,4.33,0.0
ESS,A2,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,16.75,2.00391645381883
ESS,A2,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,4.33,0.0
ESS,A2,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,11.69,0.864726230851157
ESS,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,88.2,0.0
ESS,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,16.75,2.00391645381883
ESS,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,88.2,0.0
ESS,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,11.69,0.864726230851157
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,BRANCO PERES,0.0,5.72,3.0682
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,NOVO GERADOR,0.0,5.07,2.8015
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UHE CANOAS I,0.0,5.46,2.9271
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UHE CANOAS II,0.0,5.3,2.8368
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UHE SALTO GRANDE (LN GARCEZ-GP),0.0,4.99,2.6627
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE AGUA BONITA,0.0,4.77,2.5393
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE CANAA,0.0,5.07,2.7055
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE CATANDUVA I,0.0,4.29,2.2767
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE COCAL,0.0,5.07,2.7055
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE DECASA,0.0,5.11,2.7311
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE MARACAI,0.0,5.1,2.7262
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE QUATA,0.0,4.86,2.5931
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE SANTA ISABEL,0.0,5.02,2.6786
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE SAO JOSE ESTIVA,0.0,5.05,2.6993
ESS,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE UFA,0.0,5.61,3.0102
ESS,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,20.46,0.0
ESS,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,15.83,3.96490887411674
ESS,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,20.46,0.0
ESS,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,9.91,4.35735718059365
ESS,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,104.33,0.0
ESS,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,15.83,3.96490887411674
ESS,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,104.33,0.0
ESS,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,9.91,4.35735718059365
ESS,A3,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,3.77,3.14435312240709
ESS,A3a,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,14.12,0.0
ESS,A3a,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,38.19,23.6919089463024
ESS,A3a,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,14.12,0.0
ESS,A3a,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,121.74,0.0
ESS,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,38.19,23.6919089463024
ESS,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,121.74,0.0
ESS,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A3a,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,121.74,0.0
ESS,A3a,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,46.93,26.1636746543703
ESS,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,EMS ,0.0,21.02,4.97169321590615
ESS,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,EMS ,0.0,10.73,0.0
ESS,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,EMS ,0.0,13.02,1.91080082554595
ESS,A3a,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,5.33,5.42578520385614
ESS,A3a,Verde,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,942.52,569.79042719192
ESS,A3a,Verde,Não se aplica,Não se aplica,APE,Não se aplica,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A3a,Verde,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,14.12,0.0
ESS,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,1050.14,569.79042719192
ESS,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,121.74,0.0
ESS,A4,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,14.12,0.0
