CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
CASTRO - DIS,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.17,0.0
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,890.27,0.0
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,22.26,0.0
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,3.8,0.0
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,971.02,201.63
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,22.26,0.0
CASTRO - DIS,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,84.56,201.63
CASTRO - DIS,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,1.62,0.0
CASTRO - DIS,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,5.15,0.0
CASTRO - DIS,B1,Branca,Residencial,Residencial,Ponta,MWh,331.99,201.63
CASTRO - DIS,B1,Branca,Residencial,Residencial,Intermediário,MWh,240.44,201.63
CASTRO - DIS,B1,Branca,Residencial,Residencial,Fora ponta,MWh,148.9,201.63
CASTRO - DIS,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,170.98,201.63
CASTRO - DIS,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,264.67,201.63
CASTRO - DIS,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,170.98,201.63
CASTRO - DIS,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,264.67,201.63
CASTRO - DIS,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,323.6,189.53
CASTRO - DIS,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,232.93,189.53
CASTRO - DIS,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,142.27,189.53
CASTRO - DIS,B2,Branca,Rural,Não se aplica,Ponta,MWh,323.6,189.53
CASTRO - DIS,B2,Branca,Rural,Não se aplica,Intermediário,MWh,232.93,189.53
CASTRO - DIS,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,142.27,189.53
CASTRO - DIS,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,316.71,185.5
CASTRO - DIS,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,227.98,185.5
CASTRO - DIS,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,139.24,185.5
CASTRO - DIS,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,248.79,189.53
CASTRO - DIS,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,248.79,189.53
CASTRO - DIS,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,243.5,185.5
CASTRO - DIS,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,248.79,189.53
CASTRO - DIS,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,248.79,189.53
CASTRO - DIS,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,243.5,185.5
CASTRO - DIS,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,372.86,201.63
CASTRO - DIS,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,264.97,201.63
CASTRO - DIS,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,157.07,201.63
CASTRO - DIS,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,264.67,201.63
CASTRO - DIS,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,264.67,201.63
CASTRO - DIS,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,145.57,110.9
CASTRO - DIS,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,158.8,120.98
CEA,A2,Geração,Não se aplica,Não se aplica,Não se aplica,kW,1.2,0.0
CEA,A2,Geração,Não se aplica,Não se aplica,Não se aplica,kW,6.47,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Ponta,MWh,63.91,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Ponta,kW,46.36,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,63.91,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Fora ponta,kW,15.5,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Ponta,MWh,133.62,322.12
CEA,A3,Azul,Não se aplica,Não se aplica,Ponta,kW,46.36,0.0
CEA,A3,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,133.62,215.6
CEA,A3,Azul,Não se aplica,Não se aplica,Fora ponta,kW,15.5,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Ponta,MWh,94.36,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Ponta,kW,54.25,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,94.36,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.19,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Ponta,MWh,181.48,322.12
CEA,A3a,Azul,Não se aplica,Não se aplica,Ponta,kW,54.25,0.0
CEA,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,181.48,215.6
CEA,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.19,0.0
CEA,A3a,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,224.48
CEA,A3a,Geração,Não se aplica,Não se aplica,Não se aplica,kW,10.43,0.0
CEA,A3a,Verde,Não se aplica,Não se aplica,Ponta,MWh,1410.78,0.0
CEA,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.19,0.0
CEA,A3a,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,94.36,0.0
CEA,A3a,Verde,Não se aplica,Não se aplica,Ponta,MWh,1497.89,322.12
CEA,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.19,0.0
CEA,A3a,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,181.48,215.6
CEA,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,94.36,0.0
CEA,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,54.25,0.0
CEA,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,94.36,0.0
CEA,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.19,0.0
CEA,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,181.48,322.12
CEA,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,54.25,0.0
CEA,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,181.48,215.6
CEA,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.19,0.0
CEA,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,224.48
CEA,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,10.43,0.0
CEA,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1410.78,0.0
CEA,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.19,0.0
CEA,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,94.36,0.0
CEA,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1497.89,322.12
